EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	17:05:22	0	0.1000	4.0701995955217605	2.184711456298828	0.6647	0.4468	0.5344	2.0464704036712646	0.7002	0.4597	0.555
1	19:04:19	0	0.1000	2.361486651993438	1.9653160572052002	0.74	0.4807	0.5828	1.7984522581100464	0.7807	0.4964	0.6069
2	21:03:25	0	0.1000	2.0415614920174514	1.6695982217788696	0.7301	0.592	0.6538	1.438650131225586	0.7692	0.6115	0.6813
3	23:02:56	0	0.1000	1.8272697395926354	1.6008176803588867	0.7366	0.6254	0.6765	1.3468371629714966	0.7834	0.6479	0.7092
4	01:01:38	0	0.1000	1.6931171582849234	1.5250625610351562	0.7468	0.6496	0.6948	1.2509251832962036	0.7846	0.6711	0.7234
5	03:00:58	0	0.1000	1.6145224588029337	1.5276557207107544	0.7565	0.6606	0.7053	1.2463754415512085	0.7987	0.6822	0.7359
6	05:00:43	0	0.1000	1.52395855204371	1.4645497798919678	0.7517	0.6823	0.7153	1.1558722257614136	0.7958	0.7022	0.7461
7	07:00:39	0	0.1000	1.4586657908138814	1.468407154083252	0.7594	0.6817	0.7185	1.1630194187164307	0.7999	0.6998	0.7465
8	08:58:41	0	0.1000	1.378661396319434	1.4526011943817139	0.7536	0.6988	0.7252	1.1200833320617676	0.7961	0.7171	0.7545
9	10:58:55	0	0.1000	1.3351064183567993	1.447108507156372	0.7528	0.7093	0.7304	1.0983351469039917	0.7983	0.7363	0.766
10	12:57:31	0	0.1000	1.2972218541890983	1.3894659280776978	0.7645	0.7114	0.737	1.0353608131408691	0.8086	0.7394	0.7725
11	14:56:13	0	0.1000	1.2478571260135445	1.4026234149932861	0.7591	0.7122	0.7349	1.0422422885894775	0.8027	0.7418	0.771
12	16:55:14	1	0.1000	1.2260835594778894	1.4326965808868408	0.7397	0.7428	0.7412	1.035805344581604	0.7833	0.7707	0.7769
13	18:53:48	0	0.1000	1.2104930598463788	1.425525426864624	0.7434	0.7162	0.7295	1.0372563600540161	0.7833	0.7393	0.7607
14	20:52:53	1	0.1000	1.1804597823011795	1.3923509120941162	0.7772	0.713	0.7437	0.9907463192939758	0.8244	0.741	0.7805
15	22:51:43	0	0.1000	1.1194486928466183	1.3984553813934326	0.769	0.7098	0.7382	1.0015954971313477	0.8185	0.739	0.7767
16	00:50:02	1	0.1000	1.0874048903484472	1.408454418182373	0.7846	0.7037	0.742	1.031025767326355	0.8319	0.7303	0.7778
17	02:49:33	2	0.1000	1.067130987276167	1.4385751485824585	0.7792	0.7092	0.7426	1.0305737257003784	0.8281	0.7382	0.7806
18	04:50:02	3	0.1000	1.0540118328276897	1.4172176122665405	0.7599	0.7336	0.7465	1.0060513019561768	0.8076	0.7592	0.7827
19	06:49:19	0	0.1000	1.0569053455487194	1.441555380821228	0.7646	0.7309	0.7474	1.0184767246246338	0.8156	0.7582	0.7859
20	08:48:23	0	0.1000	1.021508267981894	1.416193962097168	0.764	0.7358	0.7496	0.9768906235694885	0.8121	0.7703	0.7906
21	10:47:39	0	0.1000	1.01396209025543	1.4070910215377808	0.768	0.7278	0.7474	0.9859601259231567	0.8205	0.7571	0.7875
22	12:46:23	1	0.1000	0.9826116377475278	1.4472061395645142	0.7722	0.7298	0.7504	1.0251028537750244	0.8159	0.754	0.7837
23	14:45:40	0	0.1000	0.9544750375635672	1.4295499324798584	0.7571	0.7446	0.7508	0.9738646745681763	0.8052	0.7763	0.7905
24	16:44:35	0	0.1000	0.965890583936	1.464454174041748	0.7581	0.7446	0.7513	1.0027506351470947	0.8053	0.773	0.7888
25	18:44:06	0	0.1000	0.917532078371752	1.4973392486572266	0.7352	0.771	0.7527	0.9997057914733887	0.7839	0.804	0.7938
26	20:42:34	0	0.1000	0.9207665680238865	1.3903005123138428	0.7683	0.7434	0.7556	0.9374706745147705	0.8183	0.7764	0.7968
27	22:40:06	0	0.1000	0.9084111168880591	1.5002131462097168	0.7885	0.7273	0.7567	1.0264458656311035	0.8383	0.7514	0.7925
28	00:37:59	0	0.1000	0.9040052865175593	1.4361975193023682	0.7888	0.7263	0.7563	0.9932733774185181	0.8388	0.752	0.793
29	02:35:37	1	0.1000	0.8714195661096765	1.4507256746292114	0.7873	0.7309	0.7581	0.9844934940338135	0.8386	0.7594	0.797
30	04:34:37	0	0.1000	0.8655345691930527	1.4712947607040405	0.7839	0.7321	0.7571	0.996971845626831	0.8345	0.7596	0.7953
31	06:31:54	1	0.1000	0.858039666262249	1.465659260749817	0.7837	0.7315	0.7567	0.996889591217041	0.8308	0.7576	0.7925
32	08:30:40	2	0.1000	0.8237438364716985	1.5061194896697998	0.7764	0.7434	0.7595	1.0166442394256592	0.8247	0.772	0.7975
33	10:29:43	0	0.1000	0.8415995387022928	1.4877575635910034	0.7937	0.7234	0.7569	1.0417454242706299	0.8425	0.7499	0.7935
